amenities,availability,building_name,description,name,operator,type,url
n/a,sold out,Stonemason House,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,Stonemason House,n/a,Classic Shared Apartment - Single Bed,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,Stonemason House,n/a,Classic 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,St Peter Studios,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio - Fixed Window,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Smaller Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,Foss Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,Foss Studios,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,Foss Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,St Peter Studios,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,Foss Studios,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,Centro Court,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/
n/a,sold out,Centro Court,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/
n/a,sold out,Centro Court,n/a,Classic XL Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/
n/a,sold out,Ayton House,n/a,Classic 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Bigger 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,South Bridge,n/a,Premium Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,South Bridge,n/a,Premium Loft Studio - Great view,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,South Bridge,n/a,Premium Smaller Studio - Great view,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,Ayton House,n/a,Classic Bigger Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Shared Apartment - Sea View,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,South Bridge,n/a,Premium Bigger Loft Studio - Great view,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,South Bridge,n/a,Premium Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,South Bridge,n/a,Premium Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,available,South Bridge,n/a,Premium Studio - Great view,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,Ayton House,n/a,Classic Bigger 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,South Bridge,n/a,Premium Bigger Studio - Great view,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
n/a,sold out,Ayton House,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Studio - Sea View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Bigger Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,available,Percys Place,n/a,Classic Shared Townhouse,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Percys Place,n/a,Classic 3-4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Percys Place,n/a,Classic Smaller Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Halsmere Studios,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
n/a,sold out,Halsmere Studios,n/a,Basic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
n/a,available,Halsmere Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
n/a,sold out,Ayton House,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic Bigger Studio - Sea View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Ayton House,n/a,Classic XL Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
n/a,sold out,Percys Place,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Percys Place,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Percys Place,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
n/a,sold out,Halsmere Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
n/a,sold out,Halsmere Studios,n/a,Classic XL Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
n/a,sold out,Pavilion Court,n/a,Classic 3 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,available,Pavilion Court,n/a,Classic 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,available,Pavilion Court,n/a,Classic 3 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 2 Bed Apartment - Private Courtyard,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 3 Bed Apartment - Private Courtyard,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 4 Bed Apartment - Private Courtyard,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Smaller 1-Bed Apartment,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 1-Bed Apartment,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 1-Bed Apartment - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Bigger 1-Bed Apartment - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic Bigger 1-Bed Apartment - Balcony,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Pavilion Court,n/a,Classic 1-Bed Apartment - Balcony,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
n/a,sold out,Caledonia Mills,n/a,Classic 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
n/a,sold out,Caledonia Mills,n/a,Classic 3 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
n/a,available,Caledonia Mills,n/a,Classic 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
n/a,sold out,Caledonia Mills,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
n/a,sold out,Caledonia Mills,n/a,Classic 1-Bed Apartment,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
n/a,sold out,William & Matthew House,n/a,Classic Smaller 3 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic 3 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Studio - Ground Floor,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Smaller Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Duplex,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Bigger Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic XL Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,William & Matthew House,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Smaller 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic 3-4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Smaller Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
n/a,sold out,Samuel Tuke Apartments,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
